Transaction Date,Name,Title,Buy/Sell,Number of Shares,Average Share Price,Total Transaction,Details
3/15/2024,Charles Roxburgh,Insider,Buy,"3,000","GBX 2,552","£76,560",
2/26/2024,Sinead Gorman,Insider,Buy,"18,276","GBX 2,494","£455,803.44",
