Notification date,Transaction date,Company,Transaction type,Insider and/or position,,Number of shares,Price,Value,Details
2024-07-16,2024-07-12,ProCredit Holding AG (PCZ),Purchase,"Bibolli, Eriola
Management Board Member",,442,8.96,"EUR 3,965",
2024-07-15,2024-07-12,K&S AG (SDF),Purchase,"Tröltzsch, Dr. Carin-Martina
Management Board Member",,"1,760",11.67,"EUR 20,539",
2024-07-12,2024-07-11,QSC AG (QSC),Purchase,"Rixen, Thies
Management Board Member",,"41,975",0.80,"EUR 33,580",
2024-07-11,2024-07-11,RWE AG (RWE),Purchase,"Rocholl, Prof. Jörg
Supervisory Board Member",,600,33.35,"EUR 20,010",
2024-07-12,2024-07-10,QSC AG (QSC),Purchase,"Rixen, Thies
Management Board Member",,"7,880",0.80,"EUR 6,304",
2024-07-10,2024-07-09,FCR Immobilien AG (FC9),Purchase,"Through RAT Asset & Trading GmbH, a person closely affiliated to an insider",,"2,500",8.90,"EUR 22,250",
2024-07-10,2024-07-09,FCR Immobilien AG (FC9),Purchase,"Through RAT Asset & Trading GmbH, a person closely affiliated to an insider",,"1,200",8.90,"EUR 10,680",
2024-07-10,2024-07-09,7C Solarparken AG (HRPK),Purchase,"Boriau, Koen
Management Board Member",,"15,000",2.47,"EUR 37,050",
2024-07-10,2024-07-08,MTU Aero Engines AG (MTX),Purchase,"Haltrich, Dr.-Ing. Marc
Supervisory Board Member",,82,253.35,"EUR 20,775",
2024-07-10,2024-07-08,Netfonds AG (NF4),Purchase,"Through PR Capital Vermögensverwaltung U.G., a person closely affiliated to an insider",,450,45.66,"EUR 20,548",
2024-07-10,2024-07-08,Aixtron SE (AIXA),Purchase,"Schindelhauer, Kim
Supervisory Board Member",,"10,002",21.75,"EUR 217,536",
2024-07-10,2024-07-08,7C Solarparken AG (HRPK),Purchase,"Boriau, Koen
Management Board Member",,"15,024",2.48,"EUR 37,259",
2024-07-10,2024-07-05,learnd SE,Purchase,"Spang, Stefan
Supervisory Board Member",,"125,000",4.00,"EUR 500,000",
2024-07-08,2024-07-05,DEUTZ AG (DEZ),Purchase,"Müller, Dr.-Ing. Markus
Management Board Member",,"19,998",5.77,"EUR 115,391",
2024-07-05,2024-07-04,R Stahl AG (RSL2),Purchase,"Hallmann, Dr. Mathias
Management Board Member",,"2,500",19.56,"EUR 48,908",
2024-07-05,2024-07-03,AdCapital AG (ADC),Purchase,"Schmid, Dr. Andreas
Management Board Member",,"1,700",2.50,"EUR 4,250",
2024-07-05,2024-07-02,AdCapital AG (ADC),Purchase,"Schmid, Dr. Andreas
Management Board Member",,900,2.40,"EUR 2,160",
2024-07-05,2024-07-02,Lehner Investments AG (LEH),Sale,"Through RIMIVY LTD, a person closely affiliated to an insider",,"6,716,667",0.09,"EUR 604,500",
2024-07-04,2024-07-02,Vonovia SE (VNA),Purchase,"Werhahn, Ruth
Management Board Member",,"6,430",26.25,"EUR 168,776",
2024-07-03,2024-07-02,E.ON SE (EOAN),Purchase,"Jakobi, Nadia
Management Board Member",,"41,167",12.15,"EUR 500,179",
2024-07-02,2024-07-02,Einhell Germany AG (EIN3),Purchase,"Schwaiger, Prof. Dr. Manfred
Supervisory Board Member",,100,179.00,"EUR 17,900",
2024-07-04,2024-07-01,learnd SE,Purchase,"Brunner, Josef
Supervisory Board Member",,20,8.80,EUR 176,
2024-07-02,2024-07-01,Mutares SE & Co KgaA (MUX),Purchase,"Laumann, Johannes
Management Board Member",,"4,000",34.87,"EUR 139,486",
2024-07-02,2024-06-28,Neon Equity AG (D77),Purchase,"Through Neon Equity Invest GmbH, a person closely affiliated to an insider",,249,2.00,EUR 499,
2024-07-02,2024-06-28,Deutsche Beteiligungs AG (DBAN),Purchase,"Wiese, Melanie
Management Board Member",,555,25.20,"EUR 13,986",
2024-07-01,2024-06-28,Viromed Medical AG (Q11),Purchase,"Perbandt, Uwe
Management Board Member",,150,1.72,EUR 258,
2024-07-01,2024-06-28,Viromed Medical AG (Q11),Purchase,"Perbandt, Uwe
Management Board Member",,"1,303",1.98,"EUR 2,580",
2024-07-01,2024-06-28,Duerr AG (DUE),Purchase,"Heinrich, Dietmar
Management Board Member",,"2,500",20.10,"EUR 50,250",
2024-06-28,2024-06-28,ABO Kraft & Wärme AG,Purchase,"Bockholt, Matthias
Management Board Member",,"346,154",1.30,"EUR 450,000",
2024-06-28,2024-06-28,ABO Kraft & Wärme AG,Purchase,"Ahn, Dr. Jochen
Management Board Member",,"346,154",1.30,"EUR 450,000",
2024-07-02,2024-06-27,Neon Equity AG (D77),Purchase,"Through Neon Equity Invest GmbH, a person closely affiliated to an insider",,280,2.20,EUR 616,
2024-07-02,2024-06-27,AdCapital AG (ADC),Purchase,"Through Accorus UG (haftungsbeschränkt), a person closely affiliated to an insider",,"1,200",2.56,"EUR 3,072",
2024-07-01,2024-06-27,Viromed Medical AG (Q11),Purchase,"Perbandt, Uwe
Management Board Member",,"5,237",1.92,"EUR 10,055",
2024-06-28,2024-06-27,Siemens AG (SIE),Sale,"Bäumler, Tobias
Supervisory Board Member",,250,169.06,"EUR 42,265",
