Notification date,Transaction date,Company,Transaction type,Insider and/or position,,Number of shares,Price,Value,Details
2024-01-25,2024-01-23,PROTEOMICS INTERNATIONAL LABORATORIES LTD (PIQ),Sale,"Richard Lipscombe
Director",,"2,631,579",0.76,"AUD 2,000,001",
2024-01-24,2024-01-23,WINSOME RESOURCES LIMITED (WR1),Purchase,"Christopher Allan Evans
Director",,"33,333",0.60,"AUD 19,916",
2024-01-24,2024-01-23,Euro Manganese Inc (EMN),Purchase,"Matthew Peter James
Director",,"121,962",0.09,"AUD 10,861",
2024-01-24,2024-01-23,4DMedical Ltd (4DX),Purchase,"Ms Lilian Bianchi
Director",,"40,000",0.79,"AUD 31,600",
2024-01-24,2024-01-23,4DMedical Ltd (4DX),Purchase,"Dr Geraldine Bernadette McGinty
Director",,"40,000",0.79,"AUD 31,600",
2024-01-23,2024-01-23,Carbonxt Group Ltd (CG1),Purchase,"Matthew Driscoll
Director",,"231,543",0.06,"AUD 13,893",
2024-01-23,2024-01-23,Carbonxt Group Ltd (CG1),Purchase,"Warren Murphy
Director",,"152,804",0.06,"AUD 9,168",
2024-01-23,2024-01-23,Advance ZincTek Ltd (ANO),Purchase,"LEV MIZIKOVSKY
Director",,"15,622",1.05,"AUD 16,403",
2024-01-29,2024-01-22,YOJEE LIMITED (YOJ),Purchase,"David Morton
Director",,"1,002,062",0.00,"AUD 2,004",
2024-01-23,2024-01-22,PACT GROUP HOLDINGS LTD (PGH),Purchase,"Raphael Geminder
Director",,"771,877",0.84,"AUD 648,377",
2024-01-22,2024-01-22,WHITEHAWK LIMITED (WHK),Purchase,"Brian Hibbeln
Director",,"200,000",0.02,"AUD 4,400",
2024-01-22,2024-01-22,WHITEHAWK LIMITED (WHK),Purchase,"Melissa King
Director",,"200,000",0.02,"AUD 4,400",
2024-01-22,2024-01-22,HitiQ Ltd (HIQ),Purchase,"MATTHEW CLAYWORTH
Director",,"34,090,910",0.02,"AUD 750,000",
2024-01-22,2024-01-22,Advance ZincTek Ltd (ANO),Purchase,"LEV MIZIKOVSKY
Director",,"87,958",1.05,"AUD 92,356",
2024-01-29,2024-01-19,ECOGRAF LIMITED (EGR),Purchase,"Andrew Spinks
Director",,"2,139,885",0.21,"AUD 455,520",
2024-01-24,2024-01-19,SACGASCO LIMITED (SGC),Purchase,"Andrew Childs
Director",,"625,000",0.01,"AUD 5,000",
2024-01-24,2024-01-19,SACGASCO LIMITED (SGC),Purchase,"Gary Jeffery
Director",,"562,500",0.01,"AUD 4,500",
2024-01-24,2024-01-19,SACGASCO LIMITED (SGC),Purchase,"William Ashby
Director",,"506,756",0.01,"AUD 4,054",
2024-01-23,2024-01-19,ORION METALS LIMITED (ORM),Purchase,"Yi Yang
Director",,"59,782,609",0.00,"AUD 50,225",
2024-01-23,2024-01-19,ORION METALS LIMITED (ORM),Purchase,"Feng Wu
Director",,"59,782,609",0.00,"AUD 50,225",
2024-01-23,2024-01-19,ORION METALS LIMITED (ORM),Purchase,"Yu Zhou
Director",,"10,869,565",0.00,"AUD 50,000",
2024-01-23,2024-01-19,ORION METALS LIMITED (ORM),Purchase,"Bin Cai
Director",,"5,434,783",0.00,"AUD 25,000",
2024-01-22,2024-01-19,SENSORE LTD. (S3N),Purchase,"Robert William Peck
Director",,"67,046",0.09,"AUD 6,034",
2024-01-22,2024-01-19,SELECT HARVESTS LIMITED (SHV),Purchase,"David Surveyor
Director",,"2,000",5.83,"AUD 11,654",
2024-01-22,2024-01-19,Charter Hall Social Infrastructure REIT (CQE),Purchase,"Katrina Mary Melrose
Director",,485,2.87,"AUD 1,392",
2024-01-22,2024-01-19,Charter Hall Social Infrastructure REIT (CQE),Purchase,"David William Harrison (Alternate Director)
Director",,437,2.87,"AUD 1,254",
2024-01-19,2024-01-19,Advance ZincTek Ltd (ANO),Purchase,"LEV MIZIKOVSKY
Director",,"312,825",1.05,"AUD 328,466",
2024-01-24,2024-01-18,ENERGY RESOURCES OF AUSTRALIA LIMITED (ERA),Planned purchase,"Rosemary Fagen
Director",,17,14.86,AUD 253,
2024-01-24,2024-01-18,ENERGY RESOURCES OF AUSTRALIA LIMITED (ERA),Purchase,"Justin Carey
Director",,23,10.99,AUD 253,
2024-01-24,2024-01-18,ENERGY RESOURCES OF AUSTRALIA LIMITED (ERA),Purchase,"Brad Welsh
Director",,39,6.48,AUD 253,
2024-01-24,2024-01-18,ENERGY RESOURCES OF AUSTRALIA LIMITED (ERA),Purchase,"Alfred Grigg
Director",,17,14.86,AUD 253,
2024-01-23,2024-01-18,WOTSO PROPERTY (WOT),Purchase,"JR (Seph) Glew
Director",,"25,000",1.17,"AUD 29,350",
